draft_id,user_id,username,draft_created_time,draft_filled_time,draft_time,draft_completed_time,clock,draft_entry_id,tournament_entry_id,tournament_round_draft_entry_id,tournament_round_number,player_name,player_id,position_name,projection_adp,source,pick_order,overall_pick_number,team_pick_number,pick_created_time,pick_points,roster_points,made_playoffs
59a71ee6-1663-4ddc-8439-763b6d36a73c,08d19dad-f8f0-471e-a395-c5a7d11defb4,ameen0811,2023-12-28T21:39:45Z,NA,NA,NA,30,c070f66c-cc87-497b-bbb5-682e9e185e0e,f5a59a4b-2e6b-4077-be42-cf1018fbcc62,0205b85a-86b1-4aec-8e87-251f0e4f6fa5,4,Sam LaPorta,df2846af-31b4-4939-b773-8b58def0fc58,TE,NA,user,NA,7643,11,2023-12-28T21:41:11Z,0,195.64,1
59a71ee6-1663-4ddc-8439-763b6d36a73c,08d19dad-f8f0-471e-a395-c5a7d11defb4,ameen0811,2023-12-28T21:39:45Z,NA,NA,NA,30,c070f66c-cc87-497b-bbb5-682e9e185e0e,f5a59a4b-2e6b-4077-be42-cf1018fbcc62,0205b85a-86b1-4aec-8e87-251f0e4f6fa5,4,Jordan Love,67f1cafb-112d-4f4b-b491-b51b4ecd162a,QB,NA,user,NA,7644,12,2023-12-28T21:41:11Z,28.44,195.64,1
59a71ee6-1663-4ddc-8439-763b6d36a73c,08d19dad-f8f0-471e-a395-c5a7d11defb4,ameen0811,2023-12-28T21:39:45Z,NA,NA,NA,30,c070f66c-cc87-497b-bbb5-682e9e185e0e,f5a59a4b-2e6b-4077-be42-cf1018fbcc62,0205b85a-86b1-4aec-8e87-251f0e4f6fa5,4,Raheem Mostert,c25debc8-79b9-44d5-8ac4-4edca7d7b779,RB,NA,user,NA,7645,13,2023-12-28T21:41:11Z,0,195.64,1
59a71ee6-1663-4ddc-8439-763b6d36a73c,08d19dad-f8f0-471e-a395-c5a7d11defb4,ameen0811,2023-12-28T21:39:45Z,NA,NA,NA,30,c070f66c-cc87-497b-bbb5-682e9e185e0e,f5a59a4b-2e6b-4077-be42-cf1018fbcc62,0205b85a-86b1-4aec-8e87-251f0e4f6fa5,4,Juwan Johnson,2f7ab04c-3b04-4874-be0e-2a7ea0c59788,TE,NA,user,NA,7646,14,2023-12-28T21:41:11Z,19,195.64,1
59a71ee6-1663-4ddc-8439-763b6d36a73c,08d19dad-f8f0-471e-a395-c5a7d11defb4,ameen0811,2023-12-28T21:39:45Z,NA,NA,NA,30,c070f66c-cc87-497b-bbb5-682e9e185e0e,f5a59a4b-2e6b-4077-be42-cf1018fbcc62,0205b85a-86b1-4aec-8e87-251f0e4f6fa5,4,Jayden Reed,6dd797af-0abf-4bb5-82ca-9447147d3e61,WR,NA,user,NA,7647,15,2023-12-28T21:41:11Z,23.9,195.64,1
59a71ee6-1663-4ddc-8439-763b6d36a73c,08d19dad-f8f0-471e-a395-c5a7d11defb4,ameen0811,2023-12-28T21:39:45Z,NA,NA,NA,30,c070f66c-cc87-497b-bbb5-682e9e185e0e,f5a59a4b-2e6b-4077-be42-cf1018fbcc62,0205b85a-86b1-4aec-8e87-251f0e4f6fa5,4,Chuba Hubbard,a98ff9f4-f919-47e4-9f24-40c36ca9d537,RB,NA,user,NA,7648,16,2023-12-28T21:41:11Z,0,195.64,1
59a71ee6-1663-4ddc-8439-763b6d36a73c,08d19dad-f8f0-471e-a395-c5a7d11defb4,ameen0811,2023-12-28T21:39:45Z,NA,NA,NA,30,c070f66c-cc87-497b-bbb5-682e9e185e0e,f5a59a4b-2e6b-4077-be42-cf1018fbcc62,0205b85a-86b1-4aec-8e87-251f0e4f6fa5,4,C.J. Stroud,59614625-f243-4cb9-8038-146619f12e70,QB,NA,user,NA,7649,17,2023-12-28T21:41:11Z,0,195.64,1
59a71ee6-1663-4ddc-8439-763b6d36a73c,08d19dad-f8f0-471e-a395-c5a7d11defb4,ameen0811,2023-12-28T21:39:45Z,NA,NA,NA,30,c070f66c-cc87-497b-bbb5-682e9e185e0e,f5a59a4b-2e6b-4077-be42-cf1018fbcc62,0205b85a-86b1-4aec-8e87-251f0e4f6fa5,4,Kyren Williams,df0c7db6-0a74-4343-a31e-0b64e2d6b0ea,RB,NA,user,NA,7650,18,2023-12-28T21:41:11Z,29.1,195.64,1
59a71ee6-1663-4ddc-8439-763b6d36a73c,df8ef8e7-cd81-4d96-8020-34cd38e729a5,snd99,2023-12-28T21:39:45Z,NA,NA,NA,30,5780145d-7bca-4d8f-a766-4ed55d3a18ec,1ddb7318-51fc-4b44-830b-186e31d941b0,a53b79c7-f325-462a-ac45-31eb9668bc67,4,CeeDee Lamb,4de8084d-aa1a-43c7-9676-0def5b39e980,WR,NA,user,NA,4051,1,2023-12-28T21:40:31Z,33.7,181.6,1
59a71ee6-1663-4ddc-8439-763b6d36a73c,df8ef8e7-cd81-4d96-8020-34cd38e729a5,snd99,2023-12-28T21:39:45Z,NA,NA,NA,30,5780145d-7bca-4d8f-a766-4ed55d3a18ec,1ddb7318-51fc-4b44-830b-186e31d941b0,a53b79c7-f325-462a-ac45-31eb9668bc67,4,Amon-Ra St. Brown,b4d7a866-815f-40c1-8f76-7608b4ab1c01,WR,NA,user,NA,4052,2,2023-12-28T21:40:31Z,19.1,181.6,1
